Wi1,Wi2,Wi3,Wi5,DC Gain,ft,f3,Vcm,Pdiss,Is4,Gm6,Gm4,Wi4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Abs_Gain,Delay
1.00E-06,2.10E-05,9.10E-05,6.02E-05,20.0438,6.08E+06,598810,1.6,6.76E-05,1.13E-05,3.29E-04,0.000252144,2.74E-05,2.00E+00,4.20E+01,1.82E+02,5.48E+01,1.20E+02,10.05055397,0.000488281
9.10E-05,0.0001,1.10E-05,6.69E-06,20.0816,1.21E+07,1.20E+06,1.6,6.63E-05,1.15E-05,6.55E-04,0.000554053,1.18E-04,1.82E+02,2.00E+02,2.20E+01,2.36E+02,1.34E+01,10.09438814,0.00050293
0.0001,9.10E-05,1.10E-05,7.33E-06,20.1075,1.32E+07,1.31E+06,1.6,6.88E-05,1.15E-05,7.16E-04,0.000528722,1.23E-04,2.00E+02,1.82E+02,2.20E+01,2.46E+02,1.47E+01,10.12453299,0.000498047
8.10E-05,0.0001,1.10E-05,6.69E-06,20.4283,1.21E+07,1.14E+06,1.6,6.62E-05,1.14E-05,6.52E-04,0.000553795,1.18E-04,1.62E+02,2.00E+02,2.20E+01,2.36E+02,1.34E+01,10.50545822,0.00450195
0.0001,8.10E-05,1.10E-05,8.22E-06,20.4548,1.47E+07,1.39E+06,1.6,7.21E-05,1.15E-05,7.95E-04,0.00049882,1.29E-04,2.00E+02,1.62E+02,2.20E+01,2.58E+02,1.64E+01,10.53755853,0.00349121
1.10E-05,1.10E-05,0.0001,7.03E-05,20.4751,6.20E+06,570309,0.8,5.95E-05,9.71E-06,3.35E-04,0.000169162,2.18E-05,2.20E+01,2.20E+01,2.00E+02,4.36E+01,1.41E+02,10.56221491,0.000488281
9.10E-05,9.10E-05,1.10E-05,7.33E-06,20.4809,1.32E+07,1.24E+06,1.6,6.87E-05,1.15E-05,7.13E-04,0.000528526,1.23E-04,1.82E+02,1.82E+02,2.20E+01,2.46E+02,1.47E+01,10.56927018,0.0025
2.10E-05,2.10E-05,1.00E-06,2.81E-06,20.4919,6.41E+06,607221,0.8,0.000129334,9.42E-06,3.46E-04,0.000230247,3.16E-05,4.20E+01,4.20E+01,2.00E+00,6.32E+01,5.62E+00,10.58266382,0.000556641
1.10E-05,2.10E-05,0.0001,5.78E-05,20.5262,1.22E+07,1.09E+06,1.6,6.70E-05,1.18E-05,6.61E-04,0.000257594,5.39E-05,2.20E+01,4.20E+01,2.00E+02,1.08E+02,1.16E+02,10.62453667,0.000488281
2.10E-05,2.10E-05,8.10E-05,5.73E-05,20.6323,1.68E+07,1.48E+06,1.6,7.27E-05,1.18E-05,9.06E-04,0.000258045,7.37E-05,4.20E+01,4.20E+01,1.62E+02,1.47E+02,1.15E+02,10.75511355,0.000488281
0.0001,5.10E-05,1.10E-05,1.29E-05,20.6522,2.15E+07,2.01E+06,1.6,8.97E-05,1.15E-05,1.16E-03,0.000395773,1.50E-04,2.00E+02,1.02E+02,2.20E+01,3.00E+02,2.58E+01,10.77978254,0.00148926
0.0001,7.10E-05,1.10E-05,9.35E-06,20.7185,1.64E+07,1.51E+06,1.6,7.63E-05,1.15E-05,8.84E-04,0.000467005,1.34E-04,2.00E+02,1.42E+02,2.20E+01,2.68E+02,1.87E+01,10.86238021,0.00250977
7.10E-05,0.0001,1.10E-05,6.69E-06,20.7583,1.20E+07,1.09E+06,1.6,6.62E-05,1.14E-05,6.48E-04,0.000553502,1.17E-04,1.42E+02,2.00E+02,2.20E+01,2.34E+02,1.34E+01,10.91226741,0.00450195
3.10E-05,2.10E-05,1.00E-06,2.81E-06,20.7745,6.73E+06,612426,0.8,0.000129786,9.45E-06,3.63E-04,0.000230656,3.31E-05,6.20E+01,4.20E+01,2.00E+00,6.62E+01,5.62E+00,10.9326388,0.000561523
0.0001,6.10E-05,1.10E-05,1.08E-05,20.8268,1.86E+07,1.70E+06,1.6,8.19E-05,1.15E-05,1.01E-03,0.000432858,1.42E-04,2.00E+02,1.22E+02,2.20E+01,2.84E+02,2.16E+01,10.99866565,0.00249512
9.10E-05,3.10E-05,7.10E-05,5.63E-05,20.854,2.97E+07,2.91E+06,1.6,7.72E-05,1.20E-05,1.61E-03,0.000315352,1.58E-04,1.82E+02,6.20E+01,1.42E+02,3.16E+02,1.13E+02,11.03316213,0.000488281
6.10E-05,3.10E-05,9.10E-05,5.67E-05,20.8576,2.43E+07,2.17E+06,1.6,7.00E-05,1.20E-05,1.31E-03,0.000315534,1.29E-04,1.22E+02,6.20E+01,1.82E+02,2.58E+02,1.13E+02,11.03773594,0.000488281
8.10E-05,9.10E-05,1.10E-05,7.33E-06,20.8819,1.31E+07,1.18E+06,1.6,6.87E-05,1.14E-05,7.08E-04,0.000528282,1.22E-04,1.62E+02,1.82E+02,2.20E+01,2.44E+02,1.47E+01,11.0686588,0.000498047
9.10E-05,8.10E-05,1.10E-05,8.22E-06,20.8977,1.47E+07,1.32E+06,1.6,7.20E-05,1.15E-05,7.93E-04,0.000498635,1.29E-04,1.82E+02,1.62E+02,2.20E+01,2.58E+02,1.64E+01,11.08881148,0.00350586
2.10E-05,1.10E-05,0.0001,6.97E-05,20.9161,6.79E+06,585726,0.8,5.98E-05,9.79E-06,3.67E-04,0.000169904,2.37E-05,4.20E+01,2.20E+01,2.00E+02,4.74E+01,1.39E+02,11.11232667,0.000488281
1.00E-06,1.10E-05,4.10E-05,5.97E-05,20.9496,6.94E+06,615246,1.6,9.85E-05,1.11E-05,3.75E-04,0.000181237,2.28E-05,2.00E+00,2.20E+01,8.20E+01,4.56E+01,1.19E+02,11.15526778,0.000488281
4.10E-05,2.10E-05,1.00E-06,2.81E-06,20.9608,6.91E+06,614764,0.8,0.000130079,9.47E-06,3.74E-04,0.000230922,3.40E-05,8.20E+01,4.20E+01,2.00E+00,6.80E+01,5.62E+00,11.16966119,0.00255859
